,date,datetime,coefs
140,Mercredi 21 Mai 2025,2025-05-21,"[44, 46]"
141,Jeudi 22 Mai 2025,2025-05-22,"[49, 54]"
142,Vendredi 23 Mai 2025,2025-05-23,"[59, 65]"
143,Samedi 24 Mai 2025,2025-05-24,"[71, 77]"
144,Dimanche 25 Mai 2025,2025-05-25,"[83, 88]"
145,Lundi 26 Mai 2025,2025-05-26,"[92, 94]"
146,Mardi 27 Mai 2025,2025-05-27,"[96, 97]"
147,Mercredi 28 Mai 2025,2025-05-28,"[96, 95]"
148,Jeudi 29 Mai 2025,2025-05-29,"[92, 89]"
149,Vendredi 30 Mai 2025,2025-05-30,"[84, 79]"
150,Samedi 31 Mai 2025,2025-05-31,"[74, 69]"
151,Dimanche 01 Juin 2025,2025-06-01,"[63, 58]"
152,Lundi 02 Juin 2025,2025-06-02,"[53, None]"
153,Mardi 03 Juin 2025,2025-06-03,"[49, 46]"
154,Mercredi 04 Juin 2025,2025-06-04,"[44, 43]"
155,Jeudi 05 Juin 2025,2025-06-05,"[43, 44]"
156,Vendredi 06 Juin 2025,2025-06-06,"[46, 48]"
157,Samedi 07 Juin 2025,2025-06-07,"[51, 53]"
158,Dimanche 08 Juin 2025,2025-06-08,"[56, 59]"
159,Lundi 09 Juin 2025,2025-06-09,"[61, 64]"
160,Mardi 10 Juin 2025,2025-06-10,"[66, 67]"
161,Mercredi 11 Juin 2025,2025-06-11,"[69, 70]"
162,Jeudi 12 Juin 2025,2025-06-12,"[71, 71]"
163,Vendredi 13 Juin 2025,2025-06-13,"[71, 71]"
164,Samedi 14 Juin 2025,2025-06-14,"[70, 70]"
165,Dimanche 15 Juin 2025,2025-06-15,"[68, 67]"
166,Lundi 16 Juin 2025,2025-06-16,"[65, 63]"
167,Mardi 17 Juin 2025,2025-06-17,"[61, None]"
168,Mercredi 18 Juin 2025,2025-06-18,"[59, 58]"
169,Jeudi 19 Juin 2025,2025-06-19,"[56, 56]"
170,Vendredi 20 Juin 2025,2025-06-20,"[56, 57]"
171,Samedi 21 Juin 2025,2025-06-21,"[58, 61]"
172,Dimanche 22 Juin 2025,2025-06-22,"[64, 67]"
173,Lundi 23 Juin 2025,2025-06-23,"[71, 75]"
174,Mardi 24 Juin 2025,2025-06-24,"[78, 82]"
175,Mercredi 25 Juin 2025,2025-06-25,"[84, 86]"
176,Jeudi 26 Juin 2025,2025-06-26,"[87, 88]"
177,Vendredi 27 Juin 2025,2025-06-27,"[88, 86]"
178,Samedi 28 Juin 2025,2025-06-28,"[85, 82]"
179,Dimanche 29 Juin 2025,2025-06-29,"[79, 75]"
180,Lundi 30 Juin 2025,2025-06-30,"[71, 67]"
181,Mardi 01 Juillet 2025,2025-07-01,"[62, None]"
182,Mercredi 02 Juillet 2025,2025-07-02,"[57, 53]"
183,Jeudi 03 Juillet 2025,2025-07-03,"[49, 45]"
184,Vendredi 04 Juillet 2025,2025-07-04,"[42, 39]"
185,Samedi 05 Juillet 2025,2025-07-05,"[38, 38]"
186,Dimanche 06 Juillet 2025,2025-07-06,"[39, 41]"
187,Lundi 07 Juillet 2025,2025-07-07,"[44, 47]"
188,Mardi 08 Juillet 2025,2025-07-08,"[50, 54]"
189,Mercredi 09 Juillet 2025,2025-07-09,"[58, 62]"
190,Jeudi 10 Juillet 2025,2025-07-10,"[65, 68]"
191,Vendredi 11 Juillet 2025,2025-07-11,"[71, 74]"
192,Samedi 12 Juillet 2025,2025-07-12,"[76, 78]"
193,Dimanche 13 Juillet 2025,2025-07-13,"[80, 81]"
194,Lundi 14 Juillet 2025,2025-07-14,"[81, 81]"
195,Mardi 15 Juillet 2025,2025-07-15,"[80, 78]"
196,Mercredi 16 Juillet 2025,2025-07-16,"[76, 72]"
197,Jeudi 17 Juillet 2025,2025-07-17,"[69, None]"
198,Vendredi 18 Juillet 2025,2025-07-18,"[65, 62]"
199,Samedi 19 Juillet 2025,2025-07-19,"[58, 55]"
200,Dimanche 20 Juillet 2025,2025-07-20,"[53, 52]"
201,Lundi 21 Juillet 2025,2025-07-21,"[53, 56]"
202,Mardi 22 Juillet 2025,2025-07-22,"[59, 64]"
203,Mercredi 23 Juillet 2025,2025-07-23,"[69, 73]"
204,Jeudi 24 Juillet 2025,2025-07-24,"[78, 82]"
205,Vendredi 25 Juillet 2025,2025-07-25,"[85, 87]"
206,Samedi 26 Juillet 2025,2025-07-26,"[89, 89]"
207,Dimanche 27 Juillet 2025,2025-07-27,"[89, 87]"
208,Lundi 28 Juillet 2025,2025-07-28,"[85, 82]"
209,Mardi 29 Juillet 2025,2025-07-29,"[78, 74]"
210,Mercredi 30 Juillet 2025,2025-07-30,"[69, 64]"
211,Jeudi 31 Juillet 2025,2025-07-31,"[58, 53]"
212,Vendredi 01 Août 2025,2025-08-01,"[47, None]"
213,Samedi 02 Août 2025,2025-08-02,"[42, 37]"
214,Dimanche 03 Août 2025,2025-08-03,"[33, 30]"
215,Lundi 04 Août 2025,2025-08-04,"[29, 31]"
216,Mardi 05 Août 2025,2025-08-05,"[34, 38]"
217,Mercredi 06 Août 2025,2025-08-06,"[43, 49]"
218,Jeudi 07 Août 2025,2025-08-07,"[55, 61]"
219,Vendredi 08 Août 2025,2025-08-08,"[67, 73]"
220,Samedi 09 Août 2025,2025-08-09,"[78, 83]"
221,Dimanche 10 Août 2025,2025-08-10,"[87, 90]"
222,Lundi 11 Août 2025,2025-08-11,"[93, 95]"
223,Mardi 12 Août 2025,2025-08-12,"[95, 95]"
224,Mercredi 13 Août 2025,2025-08-13,"[93, 90]"
225,Jeudi 14 Août 2025,2025-08-14,"[86, 81]"
226,Vendredi 15 Août 2025,2025-08-15,"[75, None]"
227,Samedi 16 Août 2025,2025-08-16,"[68, 62]"
228,Dimanche 17 Août 2025,2025-08-17,"[55, 49]"
229,Lundi 18 Août 2025,2025-08-18,"[45, 43]"
230,Mardi 19 Août 2025,2025-08-19,"[44, 48]"
231,Mercredi 20 Août 2025,2025-08-20,"[54, 60]"
232,Jeudi 21 Août 2025,2025-08-21,"[67, 73]"
233,Vendredi 22 Août 2025,2025-08-22,"[78, 83]"
234,Samedi 23 Août 2025,2025-08-23,"[87, 89]"
235,Dimanche 24 Août 2025,2025-08-24,"[91, 92]"
